"latitude","longitude","id"
"55.78313862","37.6942469","333"
"55.78129456","37.69572748","334"
"55.78092574","37.69549145","335"
"55.78312653","37.69857063","336"
"55.78635797","37.69809319","337"
"55.78643656","37.69908024","338"
"55.76930601","37.65280141","339"
"55.7696447","37.65418543","340"
"55.76691692","37.65623464","341"
"55.76720725","37.6571895","342"
"55.76724354","37.66471042","343"
"55.76670523","37.66392721","344"
"55.76991686","37.66987099","345"
"55.7693302","37.66931309","346"
"55.77131998","37.67240299","347"
"55.7708422","37.67203821","348"
"55.77278957","37.67622246","349"
"55.77245695","37.67566456","350"
"55.7863217","37.6766087","351"
"55.78557205","37.67631902","352"
"55.78324443","37.6727785","353"
"55.78280912","37.67278923","354"
"55.78775445","37.66204698","355"
"55.78706226","37.66234203","356"
"55.77997645","37.70156129","357"
"55.7803211","37.70243032","358"
"55.78229218","37.70513399","359"
"55.78240705","37.7062927","360"
"55.78104666","37.70414694","361"
"55.77458868","37.69777401","362"
"55.77380253","37.69794567","363"
"55.77377834","37.68047913","364"
"55.77348201","37.67987831","365"
"55.7755381","37.68210991","366"
"55.77443145","37.68489941","367"
"55.77327035","37.68412693","368"
"55.76999851","37.69235058","369"
"55.76886147","37.69168539","370"
"55.76424642","37.68525882","371"
"55.76151826","37.68616004","372"
"55.76123999","37.688338","373"
"55.76136703","37.68736167","374"
"55.75931624","37.67943306","375"
"55.75889276","37.67719074","376"
"55.75296356","37.67247005","377"
"55.75218907","37.672749","378"
"55.76568301","37.66089632","379"
"55.76532916","37.66016676","380"
"55.75349904","37.66682936","383"
"55.75789454","37.66981198","386"
"55.7572109","37.66924335","387"
"55.75489972","37.66441001","388"
"55.75086997","37.66529514","389"
"55.75077315","37.66582085","390"
"55.74811667","37.66774131","391"
"55.7474147","37.66885711","392"
"55.72072054","37.59967892","393"
"55.72115655","37.5998774","394"
"55.72161678","37.60101466","395"
"55.72490026","37.60588019","396"
"55.72501682","37.60562001","397"
"55.72745238","37.60968088","398"
"55.72849679","37.61175691","399"
"55.7287208","37.61131166","400"
"55.72862999","37.61399923","401"
"55.72869356","37.6144713","402"
"55.72760677","37.61410652","403"
"55.71698854","37.59429036","404"
"55.71715055","37.59397386","405"
"55.71462804","37.59044944","406"
"55.71433126","37.59066402","407"
"55.71110897","37.58571802","408"
"55.71095754","37.58613645","409"
"55.71055928","37.58503406","410"
"55.70892378","37.58507161","411"
"55.71082277","37.58215873","412"
"55.70883443","37.58278369","413"
"55.7089783","37.58251815","414"
