id,address,latitude,longitude
300,"Балаклавский переулок, дом 1к6",56.307392,43.927139
301,"Балаклавский переулок, дом 1к7",56.307156,43.927483
302,"Балаклавский переулок, дом 3",56.308109,43.926991
303,"Гагинская улица, дом 1",56.258823,44.003193
304,"Гагинская улица, дом 2",56.258717,44.002823
305,"Гагинская улица, дом 3",56.258568,44.003490
306,"Гагинская улица, дом 4",56.258450,44.003067
307,"Гагинская улица, дом 5",56.258347,44.003658
308,"Гагинская улица, дом 6",56.258232,44.003220
309,"Гагинская улица, дом 7",56.258202,44.003838
310,"Гагинская улица, дом 8",56.258095,44.003418
311,"Гагинская улица, дом 9",56.257923,44.004128
312,"Гагинская улица, дом 10",56.257816,44.003651
313,"Гагинская улица, дом 11",56.257679,44.004341
314,"Гагинская улица, дом 12",56.257542,44.003910
315,"Гагинская улица, дом 13",56.257412,44.004578
316,"Гагинская улица, дом 14",56.257309,44.004208
317,"Гагинская улица, дом 15",56.257248,44.004738
318,"Гагинская улица, дом 16",56.257099,44.004314
319,"Гагинская улица, дом 17",56.257065,44.004898
320,"Гагинская улица, дом 18",56.256947,44.004467
321,"Гагинская улица, дом 19",56.256763,44.005188
322,"Гагинская улица, дом 20",56.256706,44.004692
323,"Абразивная улица, дом 1",56.211102,43.816128
324,"Абразивная улица, дом 3",56.211262,43.815983
325,"Абразивная улица, дом 5",56.211403,43.815857
326,"Абразивная улица, дом 6",56.211609,43.815041
327,"Абразивная улица, дом 7",56.211594,43.815697
328,"Абразивная улица, дом 8",56.211784,43.814888
329,"Абразивная улица, дом 9",56.211739,43.815571
330,"Абразивная улица, дом 10",56.211914,43.814762
331,"Абразивная улица, дом 11",56.211884,43.815437
332,"Абразивная улица, дом 12",56.212105,43.814590
333,"Абразивная улица, дом 13",56.212128,43.815147
334,"Абразивная улица, дом 14",56.212349,43.814358
335,"Абразивная улица, дом 15",56.212265,43.815128
336,"Абразивная улица, дом 16",56.212471,43.814232
337,"Абразивная улица, дом 17",56.212494,43.814896
338,"Абразивная улица, дом 18",56.212715,43.813988
339,"Абразивная улица, дом 19",56.212669,43.814728
340,"Абразивная улица, дом 20",56.212849,43.813892
341,"Абразивная улица, дом 21",56.212795,43.814610
342,"Абразивная улица, дом 22",56.213039,43.813709
343,"Абразивная улица, дом 23",56.212978,43.814449
344,"2-й Дачный переулок, дом 2",56.303391,43.909031
345,"2-й Дачный переулок, дом 3",56.303436,43.908733
346,"2-й Дачный переулок, дом 4",56.303513,43.908276
347,"2-й Дачный переулок, дом 5",56.303547,43.908009
348,"2-й Дачный переулок, дом 6",56.303555,43.907730
349,"2-й Дачный переулок, дом 8",56.303677,43.907181
350,"2-й Дачный переулок, дом 12",56.303326,43.909336
351,"Ворсменская улица, дом 1",56.277519,43.996754
352,"Ворсменская улица, дом 2",56.276802,43.996975
353,"Ворсменская улица, дом 4",56.277020,43.997028
354,"Ворсменская улица, дом 6",56.277206,43.997086
355,"Ворсменская улица, дом 8",56.277382,43.997128
356,"Ворсменская улица, дом 10",56.277588,43.997173
357,"Ворсменская улица, дом 12",56.277809,43.997227
358,"улица Богдановича, дом 1",56.285126,44.074097
359,"улица Богдановича, дом 1а",56.285160,44.073353
360,"улица Богдановича, дом 1Ак1",56.284492,44.076889
361,"улица Богдановича, дом 1Ак2",56.284683,44.076569
362,"улица Богдановича, дом 1к1",56.285831,44.073997
363,"улица Богдановича, дом 1к2",56.285603,44.073441
364,"улица Богдановича, дом 2/27",56.284466,44.075462
365,"улица Богдановича, дом 2А",56.283089,44.076569
366,"улица Богдановича, дом 2к1",56.283863,44.075417
367,"улица Богдановича, дом 4",56.284466,44.073017
368,"улица Богдановича, дом 4А",56.284073,44.074078
369,"улица Богдановича, дом 4к1",56.283863,44.073002
370,"улица Богдановича, дом 6",56.284477,44.070595
371,"улица Богдановича, дом 6к1",56.283882,44.070549
372,"улица Богдановича, дом 6к2",56.283096,44.070324
373,"улица Богдановича, дом 7",56.285126,44.071709
374,"улица Богдановича, дом 7а",56.285152,44.072498
375,"улица Богдановича, дом 7в",56.285358,44.070953
376,"улица Богдановича, дом 7к1",56.285816,44.071651
377,"улица Богдановича, дом 7к2",56.285606,44.072479
378,"улица Богдановича, дом 8",56.284466,44.068787
379,"улица Богдановича, дом 20",56.283882,44.068142
380,"Водоёмная улица, дом 2",56.211166,43.816498
381,"Водоёмная улица, дом 3",56.211311,43.816956
382,"Водоёмная улица, дом 4",56.211391,43.816299
383,"Водоёмная улица, дом 5",56.211502,43.816792
384,"Водоёмная улица, дом 6",56.211510,43.816189
385,"Водоёмная улица, дом 7",56.211643,43.816666
386,"Водоёмная улица, дом 8",56.211689,43.816036
387,"Водоёмная улица, дом 9",56.211796,43.816513
388,"Водоёмная улица, дом 10",56.211819,43.815922
389,"Водоёмная улица, дом 11",56.211945,43.816368
390,"Водоёмная улица, дом 12",56.211983,43.815769
391,"Водоёмная улица, дом 14",56.212109,43.815670
392,"Водоёмная улица, дом 15",56.212250,43.816128
393,"Водоёмная улица, дом 16",56.212360,43.815464
394,"Водоёмная улица, дом 17",56.212479,43.815910
395,"Водоёмная улица, дом 18",56.212589,43.815239
396,"Водоёмная улица, дом 19",56.212715,43.815704
397,"Водоёмная улица, дом 20",56.212753,43.815022
398,"Водоёмная улица, дом 21",56.212872,43.815525
399,"Водоёмная улица, дом 22",56.212872,43.814907
400,"Водоёмная улица, дом 23",56.213020,43.815418
401,"улица Володарского, дом 3",56.317383,44.003796
402,"улица Володарского, дом 3а",56.317688,44.005161
403,"улица Володарского, дом 4",56.317463,44.007290
404,"улица Володарского, дом 4А",56.318211,44.009155
405,"улица Володарского, дом 4Б",56.317970,44.007874
406,"улица Володарского, дом 5",56.317913,44.006680
407,"улица Володарского, дом 7",56.318260,44.007542
408,"улица Володарского, дом 9",56.318626,44.008404
409,"улица Володарского, дом 11",56.319012,44.009193
410,"улица Володарского, дом 13",56.317513,44.006462
411,"улица Володарского, дом 36/2",56.319294,44.011269
412,"улица Володарского, дом 38а",56.319355,44.011692
413,"улица Володарского, дом 38Б",56.319004,44.011913
414,"улица Володарского, дом 40",56.319519,44.013020
415,"улица Володарского, дом 41",56.319546,44.011089
416,"улица Володарского, дом 43/4",56.319710,44.011765
417,"улица Володарского, дом 45",56.319870,44.012444
418,"улица Володарского, дом 49",56.319923,44.012875
419,"улица Володарского, дом 49А",56.320133,44.012779
420,"улица Володарского, дом 56",56.320263,44.016075
421,"улица Володарского, дом 57",56.320377,44.014980
422,"улица Володарского, дом 58/33",56.320362,44.016712
423,"улица Володарского, дом 63",56.320866,44.016129
424,"Абрикосовая улица, дом 2",56.264202,44.068645
425,"Абрикосовая улица, дом 4",56.264332,44.069084
426,"Абрикосовая улица, дом 6",56.264519,44.069355
427,"Абрикосовая улица, дом 11",56.264835,44.070415
